v,k,t,layer,size,low_bd,schoenheim,gap,affine_count,"C(v,t)",last_improvement,years_stale,n_improvements
81,9,3,FRONTIER,1170,1080,1080,90,1170,85320,2011-10-10,14.4,13
32,8,4,FRONTIER,620,552,532,68,620,35960,1996-11-14,29.3,1
32,17,5,FRONTIER,62,53,53,9,,201376,2008-11-30,17.2,1
49,8,2,FRONTIER,49,44,43,5,,1176,2008-11-27,17.3,1
20,12,4,FRONTIER,20,15,12,5,,4845,1996-11-14,29.3,1
25,16,4,FRONTIER,17,13,11,4,,12650,1996-11-14,29.3,1
23,10,3,FRONTIER,24,21,19,3,,1771,1996-11-14,29.3,1
21,10,3,FRONTIER,18,16,15,2,,1330,1996-11-14,29.3,1
28,9,3,"NEAR+CONSTR(30,9,3)",56,50,44,6,,3276,1996-11-14,29.3,1
30,12,3,NEAR,30,25,20,5,,4060,1996-11-14,29.3,1
27,10,3,NEAR,35,33,33,2,,2925,2008-09-22,17.4,3
64,16,4,AFFINE,620,404,388,216,2604,635376,2009-01-13,17.1,1
64,8,3,AFFINE,916,792,792,124,11160,41664,2009-04-16,16.9,5
32,8,3,AFFINE,106,104,92,2,620,4960,2000-09-12,25.5,2
24,6,4,FAR-SELF,784,720,720,64,,10626,1996-11-14,29.3,1
32,18,5,FAR-SELF,56,40,27,16,,201376,2009-09-16,16.5,4
30,9,3,FAR-SELF,66,60,50,6,,4060,1996-11-14,29.3,1
22,15,5,FAR-SELF,22,18,17,4,,26334,1996-11-14,29.3,1
29,6,4,"CONSTR(24,6,4)",1802,1653,1653,149,,23751,2008-07-02,17.7,2
26,6,4,"CONSTR(24,6,4)",1152,1040,1040,112,,14950,2021-03-28,4.9,8
23,6,4,"CONSTR(24,6,4)",716,625,625,91,,8855,2016-11-23,9.3,7
40,18,5,"CONSTR(32,18,5)",186,114,98,72,,658008,2021-02-04,5.1,24
25,6,4,"CONSTR(24,6,4)",992,925,921,67,,12650,2000-07-31,25.6,4
39,18,5,"CONSTR(32,18,5)",155,102,94,53,,575757,2022-12-01,3.2,14
21,6,4,"CONSTR(24,6,4)",484,434,406,50,,5985,2015-08-03,10.6,10
37,18,5,"CONSTR(32,18,5)",124,74,70,50,,435897,2020-08-29,5.5,3
38,18,5,"CONSTR(32,18,5)",131,85,74,46,,501942,2020-11-17,5.3,5
22,6,4,"CONSTR(24,6,4)",580,539,539,41,,7315,1996-11-14,29.3,1
20,6,4,"CONSTR(24,6,4)",382,344,344,38,,4845,2006-06-12,19.7,3
18,6,4,"CONSTR(24,6,4)",236,205,204,31,,3060,1999-04-30,26.8,2
19,6,4,"CONSTR(24,6,4)",325,298,298,27,,3876,2001-08-06,24.6,9
30,15,5,"CONSTR(22,15,5)",94,68,68,26,,142506,2008-09-22,17.4,6
36,18,5,"CONSTR(32,18,5)",86,64,62,22,,376992,2020-06-29,5.7,8
37,9,3,"CONSTR(30,9,3)",122,103,95,19,,7770,2020-04-19,5.9,7
38,9,3,"CONSTR(30,9,3)",138,119,119,19,,8436,2009-07-02,16.7,4
36,9,3,"CONSTR(30,9,3)",112,96,88,16,,7140,2017-06-09,8.7,8
17,6,4,"CONSTR(24,6,4)",188,173,173,15,,2380,1999-04-30,26.8,3
30,18,5,"CONSTR(32,18,5)",42,27,20,15,,142506,2016-05-10,9.8,3
31,18,5,"CONSTR(32,18,5)",52,37,26,15,,169911,2009-09-16,16.5,5
29,18,5,"CONSTR(32,18,5)",39,25,20,14,,118755,2009-11-05,16.3,5
35,9,3,"CONSTR(30,9,3)",103,90,86,13,,6545,2017-06-09,8.7,5
26,15,5,"CONSTR(22,15,5)",52,39,26,13,,65780,2008-09-22,17.4,4
24,15,5,"CONSTR(22,15,5)",36,24,20,12,,42504,2008-09-22,17.4,5
25,15,5,"CONSTR(22,15,5)",44,32,24,12,,53130,2008-09-22,17.4,2
27,15,5,"CONSTR(22,15,5)",57,45,42,12,,80730,2007-03-05,19.0,5
34,9,3,"CONSTR(30,9,3)",95,84,80,11,,5984,2020-04-19,5.9,6
28,15,5,"CONSTR(22,15,5)",62,51,51,11,,98280,1998-06-29,27.7,2
33,18,5,"CONSTR(32,18,5)",61,50,43,11,,237336,2013-10-13,12.4,2
35,18,5,"CONSTR(32,18,5)",69,59,59,10,,324632,2013-10-13,12.4,8
29,15,5,"CONSTR(22,15,5)",67,58,58,9,,118755,2000-01-19,26.1,3
34,18,5,"CONSTR(32,18,5)",62,53,53,9,,278256,2009-01-22,17.1,2
16,6,4,"CONSTR(24,6,4)",152,144,144,8,,1820,1997-10-31,28.3,2
28,18,5,"CONSTR(32,18,5)",32,24,19,8,,98280,2009-01-21,17.1,5
31,9,3,"CONSTR(30,9,3)",73,66,66,7,,4495,2009-04-21,16.9,3
33,9,3,"CONSTR(30,9,3)",80,74,74,6,,5456,2008-11-17,17.3,1
23,15,5,"CONSTR(22,15,5)",29,23,17,6,,33649,2008-09-22,17.4,3
32,9,3,"CONSTR(30,9,3)",77,72,72,5,,4960,2009-09-16,16.5,3
27,18,5,"CONSTR(32,18,5)",25,20,17,5,,80730,2009-01-08,17.1,2
25,9,3,"CONSTR(30,9,3)",38,34,34,4,,2300,2004-07-26,21.6,2
29,9,3,"CONSTR(30,9,3)",59,55,46,4,,3654,1996-11-14,29.3,1
26,18,5,"CONSTR(32,18,5)",19,15,13,4,,65780,2009-01-21,17.1,3
23,9,3,"CONSTR(30,9,3)",32,29,23,3,,1771,2001-01-24,25.1,4
24,9,3,"CONSTR(30,9,3)",35,32,32,3,,2024,2000-05-31,25.7,3
20,7,3,SEARCH,45,43,38,2,,1140,1997-08-06,28.6,3
22,8,3,SEARCH,38,36,33,2,,1540,2001-01-19,25.1,3
23,8,3,SEARCH,40,38,38,2,,1771,2001-01-18,25.1,2
22,10,3,SEARCH,19,17,16,2,,1540,1996-11-14,29.3,1
25,10,3,SEARCH,30,28,20,2,,2300,2004-08-23,21.5,3
28,10,3,SEARCH,36,34,34,2,,3276,2005-05-05,20.8,3
24,11,3,SEARCH,20,18,16,2,,2024,2004-07-20,21.6,3
26,11,3,SEARCH,26,24,19,2,,2600,1998-11-13,27.3,2
27,11,3,SEARCH,27,25,20,2,,2925,2005-05-11,20.8,5
31,11,3,SEARCH,39,37,34,2,,4495,2001-06-19,24.7,2
32,11,3,SEARCH,40,38,38,2,,4960,2000-06-15,25.7,3
25,12,3,SEARCH,17,15,15,2,,2300,1997-10-06,28.4,2
29,12,3,SEARCH,27,25,20,2,,3654,2004-08-23,21.5,4
34,12,3,SEARCH,39,37,34,2,,5984,2009-07-02,16.7,4
35,12,3,SEARCH,40,38,38,2,,6545,2009-07-06,16.6,3
22,13,3,SEARCH,11,9,7,2,,1540,1996-11-14,29.3,1
38,13,3,SEARCH,40,38,38,2,,8436,2009-01-20,17.1,3
24,14,3,SEARCH,11,9,7,2,,2024,1996-11-14,29.3,1
34,14,3,SEARCH,27,25,20,2,,5984,2009-01-10,17.1,3
38,14,3,SEARCH,35,33,25,2,,8436,2009-01-21,17.1,6
26,15,3,SEARCH,11,9,7,2,,2600,1996-11-14,29.3,1
28,16,3,SEARCH,11,9,7,2,,3276,1996-11-14,29.3,1
34,16,3,SEARCH,17,15,15,2,,5984,2009-01-13,17.1,4
29,17,3,SEARCH,11,9,7,2,,3654,2009-01-21,17.1,2
32,17,3,SEARCH,14,12,8,2,,4960,2009-01-21,17.1,3
36,17,3,SEARCH,17,15,15,2,,7140,2009-01-18,17.1,4
37,17,3,SEARCH,18,16,16,2,,7770,2009-01-18,17.1,4
31,18,3,SEARCH,11,9,7,2,,4495,2009-01-20,17.1,3
32,19,3,SEARCH,11,9,7,2,,4960,2009-01-20,17.1,2
33,19,3,SEARCH,11,9,7,2,,5456,2009-01-20,17.1,4
36,19,3,SEARCH,14,12,8,2,,7140,2010-02-25,16.0,3
40,19,3,SEARCH,17,15,15,2,,9880,2010-02-22,16.0,4
34,20,3,SEARCH,11,9,7,2,,5984,2016-05-10,9.8,3
35,20,3,SEARCH,11,9,7,2,,6545,2009-01-08,17.1,5
38,20,3,SEARCH,14,12,8,2,,8436,2016-05-10,9.8,3
36,21,3,SEARCH,11,9,7,2,,7140,2016-05-10,9.8,2
37,21,3,SEARCH,11,9,8,2,,7770,2009-01-20,17.1,2
40,21,3,SEARCH,14,12,8,2,,9880,2008-12-08,17.2,1
37,22,3,SEARCH,11,9,7,2,,7770,2009-01-20,17.1,3
38,22,3,SEARCH,11,9,7,2,,8436,2009-01-20,17.1,3
39,23,3,SEARCH,11,9,7,2,,9139,2009-01-10,17.1,2
40,23,3,SEARCH,11,9,7,2,,9880,2011-10-31,14.3,3
25,13,4,SEARCH,30,28,27,2,,12650,2004-09-20,21.4,2
21,14,4,SEARCH,14,12,11,2,,5985,1996-11-14,29.3,1
22,14,4,SEARCH,17,15,11,2,,7315,1996-11-14,29.3,1
23,15,4,SEARCH,15,13,11,2,,8855,1996-11-14,29.3,1
30,16,4,SEARCH,29,27,23,2,,27405,2001-07-05,24.7,2
31,16,4,SEARCH,30,28,28,2,,31465,1996-11-14,29.3,1
26,17,4,SEARCH,15,13,11,2,,14950,2008-12-07,17.2,2
32,17,4,SEARCH,29,27,23,2,,35960,2009-09-16,16.5,2
33,17,4,SEARCH,30,28,28,2,,40920,2008-11-30,17.2,1
28,18,4,SEARCH,16,14,11,2,,20475,2009-01-21,17.1,4
29,19,4,SEARCH,15,13,11,2,,23751,2009-01-12,17.1,3
30,19,4,SEARCH,17,15,12,2,,27405,2009-11-05,16.3,3
30,20,4,SEARCH,13,11,11,2,,27405,2008-11-26,17.3,2
39,20,4,SEARCH,31,29,28,2,,82251,2012-02-28,14.0,6
40,20,4,SEARCH,32,30,30,2,,91390,2012-02-28,14.0,4
31,21,4,SEARCH,12,10,9,2,,31465,2008-12-18,17.2,3
32,21,4,SEARCH,15,13,11,2,,35960,2009-01-05,17.1,3
34,22,4,SEARCH,15,13,11,2,,46376,2009-01-12,17.1,2
20,14,5,SEARCH,18,16,13,2,,15504,1996-11-14,29.3,1
21,15,5,"CONSTR(22,15,5)",16,14,12,2,,20349,1996-11-14,29.3,1
25,18,5,"CONSTR(32,18,5)",16,14,12,2,,53130,2008-12-29,17.2,3
27,19,5,SEARCH,17,15,12,2,,80730,2009-01-05,17.1,2
31,23,5,SEARCH,13,11,10,2,,169911,2009-01-22,17.1,2
32,23,5,SEARCH,16,14,12,2,,201376,2009-01-23,17.1,3
33,24,5,SEARCH,15,13,10,2,,237336,2009-02-04,17.1,2
34,24,5,SEARCH,17,15,12,2,,278256,2009-01-21,17.1,1
21,7,3,SEARCH,49,48,42,1,,1330,2001-01-17,25.1,4
20,9,3,SEARCH,21,20,18,1,,1140,2001-01-24,25.1,3
22,9,3,"CONSTR(30,9,3)",28,27,20,1,,1540,2008-09-18,17.4,5
26,9,3,"CONSTR(30,9,3)",39,38,38,1,,2600,1996-11-14,29.3,1
20,10,3,SEARCH,15,14,14,1,,1140,1996-11-14,29.3,1
29,10,3,SEARCH,42,41,38,1,,3654,2004-10-14,21.4,4
31,10,3,SEARCH,48,47,44,1,,4495,1996-11-14,29.3,1
20,11,3,SEARCH,12,11,8,1,,1140,2005-05-16,20.8,3
21,11,3,SEARCH,14,13,12,1,,1330,2009-01-05,17.1,2
22,11,3,SEARCH,15,14,14,1,,1540,1996-11-14,29.3,1
20,12,3,SEARCH,10,9,7,1,,1140,1996-11-14,29.3,1
23,12,3,SEARCH,14,13,12,1,,1771,1996-11-14,29.3,1
26,12,3,SEARCH,18,17,16,1,,2600,2001-09-24,24.4,2
36,12,3,SEARCH,40,39,39,1,,7140,2009-07-02,16.7,3
24,13,3,SEARCH,13,12,8,1,,2024,2000-06-15,25.7,2
25,13,3,SEARCH,14,13,12,1,,2300,1996-11-14,29.3,1
26,13,3,SEARCH,15,14,14,1,,2600,1996-11-14,29.3,1
39,13,3,SEARCH,40,39,39,1,,9139,2009-01-20,17.1,3
