v,k,t,size,low_bd,schoenheim,gap,gap_schoenheim,"C(v,t)","C(k,t)",last_improvement,years_stale,n_improvements,eligible,sweet
32,8,4,620,552,532,68,88,35960,70,1996-11-14,29.3,1,1,1
24,6,4,784,720,720,64,64,10626,15,1996-11-14,29.3,1,1,1
22,6,4,580,539,539,41,41,7315,15,1996-11-14,29.3,1,1,1
22,5,4,1573,1549,1549,24,24,7315,5,1996-11-14,29.3,1,1,1
24,12,5,86,72,68,14,18,42504,792,1996-11-14,29.3,1,1,1
20,12,5,42,32,24,10,18,15504,792,1996-11-14,29.3,1,1,1
30,16,5,62,53,53,9,9,142506,4368,1996-11-14,29.3,1,1,1
28,9,3,56,50,44,6,12,3276,84,1996-11-14,29.3,1,1,1
30,9,3,66,60,50,6,16,4060,84,1996-11-14,29.3,1,1,1
30,12,3,30,25,20,5,10,4060,220,1996-11-14,29.3,1,1,1
20,12,4,20,15,12,5,8,4845,495,1996-11-14,29.3,1,1,1
21,5,3,151,147,147,4,4,1330,10,1996-11-14,29.3,1,1,1
24,6,3,116,112,112,4,4,2024,20,1996-11-14,29.3,1,1,1
29,9,3,59,55,46,4,13,3654,84,1996-11-14,29.3,1,1,1
21,11,4,31,27,27,4,4,5985,330,1996-11-14,29.3,1,1,1
23,12,4,31,27,27,4,4,8855,495,1996-11-14,29.3,1,1,1
27,14,4,31,27,27,4,4,17550,1001,1996-11-14,29.3,1,1,1
25,16,4,17,13,11,4,6,12650,1820,1996-11-14,29.3,1,1,1
22,15,5,22,18,17,4,5,26334,3003,1996-11-14,29.3,1,1,1
23,16,5,20,16,13,4,7,33649,4368,1996-11-14,29.3,1,1,1
24,16,5,24,20,17,4,7,42504,4368,1996-11-14,29.3,1,1,1
23,10,3,24,21,19,3,5,1771,120,1996-11-14,29.3,1,1,1
29,15,4,31,28,28,3,3,23751,1365,1996-11-14,29.3,1,1,1
31,16,5,62,59,59,3,3,169911,4368,1996-11-14,29.3,1,1,1
21,10,3,18,16,15,2,3,1330,120,1996-11-14,29.3,1,1,1
22,10,3,19,17,16,2,3,1540,120,1996-11-14,29.3,1,1,1
22,13,3,11,9,7,2,4,1540,286,1996-11-14,29.3,1,1,1
24,14,3,11,9,7,2,4,2024,364,1996-11-14,29.3,1,1,1
26,15,3,11,9,7,2,4,2600,455,1996-11-14,29.3,1,1,1
28,16,3,11,9,7,2,4,3276,560,1996-11-14,29.3,1,1,1
21,14,4,14,12,11,2,3,5985,1001,1996-11-14,29.3,1,1,1
22,14,4,17,15,11,2,6,7315,1001,1996-11-14,29.3,1,1,1
23,15,4,15,13,11,2,4,8855,1365,1996-11-14,29.3,1,1,1
31,16,4,30,28,28,2,2,31465,1820,1996-11-14,29.3,1,1,1
20,14,5,18,16,13,2,5,15504,2002,1996-11-14,29.3,1,1,1
21,15,5,16,14,12,2,4,20349,3003,1996-11-14,29.3,1,1,1
26,9,3,39,38,38,1,1,2600,84,1996-11-14,29.3,1,1,1
20,10,3,15,14,14,1,1,1140,120,1996-11-14,29.3,1,1,1
31,10,3,48,47,44,1,4,4495,120,1996-11-14,29.3,1,1,1
22,11,3,15,14,14,1,1,1540,165,1996-11-14,29.3,1,1,1
20,12,3,10,9,7,1,3,1140,220,1996-11-14,29.3,1,1,1
23,12,3,14,13,12,1,2,1771,220,1996-11-14,29.3,1,1,1
25,13,3,14,13,12,1,2,2300,286,1996-11-14,29.3,1,1,1
26,13,3,15,14,14,1,1,2600,286,1996-11-14,29.3,1,1,1
23,14,3,10,9,7,1,3,1771,364,1996-11-14,29.3,1,1,1
26,14,3,13,12,8,1,5,2600,364,1996-11-14,29.3,1,1,1
28,14,3,15,14,14,1,1,3276,364,1996-11-14,29.3,1,1,1
25,15,3,10,9,7,1,3,2300,455,1996-11-14,29.3,1,1,1
30,15,3,15,14,14,1,1,4060,455,1996-11-14,29.3,1,1,1
24,12,4,31,30,30,1,1,10626,495,1996-11-14,29.3,1,1,1
28,14,4,31,30,30,1,1,20475,1001,1996-11-14,29.3,1,1,1
22,15,4,12,11,9,1,3,7315,1365,1996-11-14,29.3,1,1,1
30,15,4,31,30,30,1,1,27405,1365,1996-11-14,29.3,1,1,1
23,16,4,11,10,8,1,3,8855,1820,1996-11-14,29.3,1,1,1
24,16,4,12,11,11,1,1,10626,1820,1996-11-14,29.3,1,1,1
22,16,5,14,13,10,1,4,26334,4368,1996-11-14,29.3,1,1,1
21,6,3,77,74,70,3,7,1330,20,1997-01-21,29.1,2,1,1
26,16,4,18,15,12,3,6,14950,1820,1997-01-15,29.1,2,1,1
30,16,3,13,12,8,1,5,4060,560,1997-03-27,28.9,2,1,1
28,16,4,24,20,14,4,10,20475,1820,1997-04-25,28.8,2,1,1
20,7,3,45,43,38,2,7,1140,35,1997-08-06,28.6,3,1,1
25,12,3,17,15,15,2,2,2300,220,1997-10-06,28.4,2,1,1
26,8,5,1452,1300,1300,152,152,65780,56,1997-10-31,28.3,2,1,1
25,7,4,440,400,400,40,40,12650,35,1997-10-31,28.3,2,1,1
20,5,3,133,124,116,9,17,1140,10,1997-10-31,28.3,4,1,1
22,5,3,172,163,163,9,9,1540,10,1997-11-13,28.3,4,1,1
23,5,3,187,180,180,7,7,1771,10,1997-10-31,28.3,2,1,1
22,7,4,252,233,220,19,32,7315,35,1998-01-08,28.1,2,1,1
28,15,5,62,51,51,11,11,98280,3003,1998-06-29,27.7,2,1,1
29,14,4,43,34,34,9,9,23751,1001,1998-06-29,27.7,2,1,1
29,13,3,21,17,16,4,5,3654,286,1998-07-01,27.7,3,1,1
28,13,3,19,16,16,3,3,3276,286,1998-06-29,27.7,2,1,1
25,7,3,83,75,72,8,11,2300,35,1998-11-24,27.3,5,1,1
26,11,3,26,24,19,2,7,2600,165,1998-11-13,27.3,2,1,1
27,14,3,14,13,12,1,2,2925,364,1999-08-17,26.5,2,1,1
22,10,4,54,47,42,7,12,7315,210,1999-12-21,26.2,2,1,1
26,10,3,33,29,24,4,9,2600,120,1999-12-21,26.2,2,1,1
30,10,3,46,42,39,4,7,4060,120,1999-12-21,26.2,2,1,1
21,9,3,24,21,19,3,5,1330,84,1999-12-21,26.2,2,1,1
29,15,5,67,58,58,9,9,118755,3003,2000-01-19,26.1,3,1,1
26,13,4,37,30,30,7,7,14950,715,2000-04-27,25.8,3,1,1
27,13,4,42,36,34,6,8,17550,715,2000-04-27,25.8,3,1,1
32,10,3,60,52,45,8,15,4960,120,2000-06-15,25.7,3,1,1
24,9,3,35,32,32,3,3,2024,84,2000-05-31,25.7,3,1,1
32,11,3,40,38,38,2,2,4960,165,2000-06-15,25.7,3,1,1
24,13,3,13,12,8,1,5,2024,286,2000-06-15,25.7,2,1,1
25,14,3,12,11,8,1,4,2300,364,2000-06-15,25.7,2,1,1
25,6,4,992,925,921,67,71,12650,15,2000-07-31,25.6,4,1,1
32,8,3,106,104,92,2,14,4960,56,2000-09-12,25.5,2,1,1
20,8,4,93,83,83,10,10,4845,70,2000-12-08,25.2,3,1,1
21,8,3,35,32,32,3,3,1330,56,2001-01-19,25.1,4,1,1
25,8,3,57,54,44,3,13,2300,56,2001-01-19,25.1,4,1,1
23,9,3,32,29,23,3,9,1771,84,2001-01-24,25.1,4,1,1
22,8,3,38,36,33,2,5,1540,56,2001-01-19,25.1,3,1,1
23,8,3,40,38,38,2,2,1771,56,2001-01-18,25.1,2,1,1
21,7,3,49,48,42,1,7,1330,35,2001-01-17,25.1,4,1,1
20,9,3,21,20,18,1,3,1140,84,2001-01-24,25.1,3,1,1
24,8,3,50,45,42,5,8,2024,56,2001-04-19,24.9,4,1,1
21,12,4,25,20,14,5,11,5985,495,2001-04-18,24.9,2,1,1
20,11,4,28,24,22,4,6,4845,330,2001-04-18,24.9,3,1,1
30,7,3,142,125,125,17,17,4060,35,2001-05-21,24.8,4,1,1
26,16,5,41,25,20,16,21,65780,4368,2001-05-03,24.8,2,1,1
31,7,3,153,138,133,15,20,4495,35,2001-05-03,24.8,2,1,1
24,14,5,49,35,26,14,23,42504,2002,2001-05-07,24.8,4,1,1
25,15,4,21,15,12,6,9,12650,1365,2001-05-03,24.8,2,1,1
20,10,4,36,32,30,4,6,4845,210,2001-05-03,24.8,3,1,1
28,15,4,29,25,23,4,6,20475,1365,2001-05-21,24.8,3,1,1
28,15,3,13,12,8,1,5,3276,455,2001-05-21,24.8,3,1,1
27,16,4,22,16,12,6,10,17550,1820,2001-07-05,24.7,2,1,1
25,11,3,23,19,19,4,4,2300,165,2001-06-12,24.7,2,1,1
30,11,3,37,33,33,4,4,4060,165,2001-06-19,24.7,3,1,1
32,15,3,18,15,15,3,3,4960,455,2001-06-12,24.7,2,1,1
31,11,3,39,37,34,2,5,4495,165,2001-06-19,24.7,2,1,1
30,16,4,29,27,23,2,6,27405,1820,2001-07-05,24.7,2,1,1
32,6,3,300,267,267,33,33,4960,20,2001-07-30,24.6,4,1,1
31,6,3,273,248,248,25,25,4495,20,2001-07-30,24.6,4,1,1
21,11,5,79,62,58,17,21,20349,462,2001-07-31,24.6,5,1,1
30,6,3,225,210,205,15,20,4060,20,2001-07-30,24.6,4,1,1
22,11,4,38,32,30,6,8,7315,330,2001-07-31,24.6,2,1,1
21,9,4,75,66,54,9,21,5985,126,2001-08-15,24.5,10,1,1
24,5,3,231,222,221,9,10,2024,10,2001-09-24,24.4,3,1,1
31,4,3,1165,1163,1163,2,2,4495,4,2001-09-24,24.4,3,1,1
26,12,3,18,17,16,1,2,2600,220,2001-09-24,24.4,2,1,1
26,11,4,82,67,48,15,34,14950,330,2003-01-27,23.1,5,1,1
23,11,4,42,36,34,6,8,8855,330,2003-01-27,23.1,2,1,1
25,9,3,38,34,34,4,4,2300,84,2004-07-26,21.6,2,1,1
27,12,3,22,18,18,4,4,2925,220,2004-07-26,21.6,3,1,1
22,12,4,28,24,22,4,6,7315,495,2004-07-21,21.6,2,1,1
24,13,4,28,24,23,4,5,10626,715,2004-07-20,21.6,4,1,1
24,14,4,23,19,14,4,9,10626,1001,2004-07-20,21.6,2,1,1
28,12,3,24,21,19,3,5,3276,220,2004-07-26,21.6,2,1,1
31,14,3,21,18,16,3,5,4495,364,2004-07-26,21.6,3,1,1
21,13,4,18,15,12,3,6,5985,715,2004-07-21,21.6,2,1,1
26,14,4,28,25,23,3,5,14950,1001,2004-07-26,21.6,2,1,1
24,15,4,18,15,12,3,6,10626,1365,2004-07-20,21.6,2,1,1
24,11,3,20,18,16,2,4,2024,165,2004-07-20,21.6,3,1,1
29,16,3,12,11,8,1,4,3654,560,2004-07-26,21.6,3,1,1
31,13,4,80,60,48,20,32,31465,715,2004-08-23,21.5,4,1,1
25,10,3,30,28,20,2,10,2300,120,2004-08-23,21.5,3,1,1
29,12,3,27,25,20,2,7,3654,220,2004-08-23,21.5,4,1,1
