# size 620
1 2 3 4 5 6 7 8
1 2 3 4 9 10 11 12
1 2 3 4 13 14 15 16
1 2 3 4 17 18 19 20
1 2 3 4 21 22 23 24
1 2 3 4 25 26 27 28
1 2 3 4 29 30 31 32
1 2 5 6 9 10 13 14
1 2 5 6 11 12 15 16
1 2 5 6 17 18 21 22
1 2 5 6 19 20 23 24
1 2 5 6 25 26 29 30
1 2 5 6 27 28 31 32
1 2 7 8 9 10 15 16
1 2 7 8 11 12 13 14
1 2 7 8 17 18 23 24
1 2 7 8 19 20 21 22
1 2 7 8 25 26 31 32
1 2 7 8 27 28 29 30
1 2 9 10 17 18 25 26
1 2 9 10 19 20 27 28
1 2 9 10 21 22 29 30
1 2 9 10 23 24 31 32
1 2 11 12 17 18 27 28
1 2 11 12 19 20 25 26
1 2 11 12 21 22 31 32
1 2 11 12 23 24 29 30
1 2 13 14 17 18 29 30
1 2 13 14 19 20 31 32
1 2 13 14 21 22 25 26
1 2 13 14 23 24 27 28
1 2 15 16 17 18 31 32
1 2 15 16 19 20 29 30
1 2 15 16 21 22 27 28
1 2 15 16 23 24 25 26
1 3 5 7 9 11 13 15
1 3 5 7 10 12 14 16
1 3 5 7 17 19 21 23
1 3 5 7 18 20 22 24
1 3 5 7 25 27 29 31
1 3 5 7 26 28 30 32
1 3 6 8 9 11 14 16
1 3 6 8 10 12 13 15
1 3 6 8 17 19 22 24
1 3 6 8 18 20 21 23
1 3 6 8 25 27 30 32
1 3 6 8 26 28 29 31
1 3 9 11 17 19 25 27
1 3 9 11 18 20 26 28
1 3 9 11 21 23 29 31
1 3 9 11 22 24 30 32
1 3 10 12 17 19 26 28
1 3 10 12 18 20 25 27
1 3 10 12 21 23 30 32
1 3 10 12 22 24 29 31
1 3 13 15 17 19 29 31
1 3 13 15 18 20 30 32
1 3 13 15 21 23 25 27
1 3 13 15 22 24 26 28
1 3 14 16 17 19 30 32
1 3 14 16 18 20 29 31
1 3 14 16 21 23 26 28
1 3 14 16 22 24 25 27
1 4 5 8 9 12 13 16
1 4 5 8 10 11 14 15
1 4 5 8 17 20 21 24
1 4 5 8 18 19 22 23
1 4 5 8 25 28 29 32
1 4 5 8 26 27 30 31
1 4 6 7 9 12 14 15
1 4 6 7 10 11 13 16
1 4 6 7 17 20 22 23
1 4 6 7 18 19 21 24
1 4 6 7 25 28 30 31
1 4 6 7 26 27 29 32
1 4 9 12 17 20 25 28
1 4 9 12 18 19 26 27
1 4 9 12 21 24 29 32
1 4 9 12 22 23 30 31
1 4 10 11 17 20 26 27
1 4 10 11 18 19 25 28
1 4 10 11 21 24 30 31
1 4 10 11 22 23 29 32
1 4 13 16 17 20 29 32
1 4 13 16 18 19 30 31
1 4 13 16 21 24 25 28
1 4 13 16 22 23 26 27
1 4 14 15 17 20 30 31
1 4 14 15 18 19 29 32
1 4 14 15 21 24 26 27
1 4 14 15 22 23 25 28
1 5 9 13 17 21 25 29
1 5 9 13 18 22 26 30
1 5 9 13 19 23 27 31
1 5 9 13 20 24 28 32
1 5 10 14 17 21 26 30
1 5 10 14 18 22 25 29
1 5 10 14 19 23 28 32
1 5 10 14 20 24 27 31
1 5 11 15 17 21 27 31
1 5 11 15 18 22 28 32
1 5 11 15 19 23 25 29
1 5 11 15 20 24 26 30
1 5 12 16 17 21 28 32
1 5 12 16 18 22 27 31
1 5 12 16 19 23 26 30
1 5 12 16 20 24 25 29
1 6 9 14 17 22 25 30
1 6 9 14 18 21 26 29
1 6 9 14 19 24 27 32
1 6 9 14 20 23 28 31
1 6 10 13 17 22 26 29
1 6 10 13 18 21 25 30
1 6 10 13 19 24 28 31
1 6 10 13 20 23 27 32
1 6 11 16 17 22 27 32
1 6 11 16 18 21 28 31
1 6 11 16 19 24 25 30
1 6 11 16 20 23 26 29
1 6 12 15 17 22 28 31
1 6 12 15 18 21 27 32
1 6 12 15 19 24 26 29
1 6 12 15 20 23 25 30
1 7 9 15 17 23 25 31
1 7 9 15 18 24 26 32
1 7 9 15 19 21 27 29
1 7 9 15 20 22 28 30
1 7 10 16 17 23 26 32
1 7 10 16 18 24 25 31
1 7 10 16 19 21 28 30
1 7 10 16 20 22 27 29
1 7 11 13 17 23 27 29
1 7 11 13 18 24 28 30
1 7 11 13 19 21 25 31
1 7 11 13 20 22 26 32
1 7 12 14 17 23 28 30
1 7 12 14 18 24 27 29
1 7 12 14 19 21 26 32
1 7 12 14 20 22 25 31
1 8 9 16 17 24 25 32
1 8 9 16 18 23 26 31
1 8 9 16 19 22 27 30
1 8 9 16 20 21 28 29
1 8 10 15 17 24 26 31
1 8 10 15 18 23 25 32
1 8 10 15 19 22 28 29
1 8 10 15 20 21 27 30
1 8 11 14 17 24 27 30
1 8 11 14 18 23 28 29
1 8 11 14 19 22 25 32
1 8 11 14 20 21 26 31
1 8 12 13 17 24 28 29
1 8 12 13 18 23 27 30
1 8 12 13 19 22 26 31
1 8 12 13 20 21 25 32
2 3 5 8 9 12 14 15
2 3 5 8 10 11 13 16
2 3 5 8 17 20 22 23
2 3 5 8 18 19 21 24
2 3 5 8 25 28 30 31
2 3 5 8 26 27 29 32
2 3 6 7 9 12 13 16
2 3 6 7 10 11 14 15
2 3 6 7 17 20 21 24
2 3 6 7 18 19 22 23
2 3 6 7 25 28 29 32
2 3 6 7 26 27 30 31
2 3 9 12 17 20 26 27
2 3 9 12 18 19 25 28
2 3 9 12 21 24 30 31
2 3 9 12 22 23 29 32
2 3 10 11 17 20 25 28
2 3 10 11 18 19 26 27
2 3 10 11 21 24 29 32
2 3 10 11 22 23 30 31
2 3 13 16 17 20 30 31
2 3 13 16 18 19 29 32
2 3 13 16 21 24 26 27
2 3 13 16 22 23 25 28
2 3 14 15 17 20 29 32
2 3 14 15 18 19 30 31
2 3 14 15 21 24 25 28
2 3 14 15 22 23 26 27
2 4 5 7 9 11 14 16
2 4 5 7 10 12 13 15
2 4 5 7 17 19 22 24
2 4 5 7 18 20 21 23
2 4 5 7 25 27 30 32
2 4 5 7 26 28 29 31
2 4 6 8 9 11 13 15
2 4 6 8 10 12 14 16
2 4 6 8 17 19 21 23
2 4 6 8 18 20 22 24
2 4 6 8 25 27 29 31
2 4 6 8 26 28 30 32
2 4 9 11 17 19 26 28
2 4 9 11 18 20 25 27
2 4 9 11 21 23 30 32
2 4 9 11 22 24 29 31
2 4 10 12 17 19 25 27
2 4 10 12 18 20 26 28
2 4 10 12 21 23 29 31
2 4 10 12 22 24 30 32
2 4 13 15 17 19 30 32
2 4 13 15 18 20 29 31
2 4 13 15 21 23 26 28
2 4 13 15 22 24 25 27
2 4 14 16 17 19 29 31
2 4 14 16 18 20 30 32
2 4 14 16 21 23 25 27
2 4 14 16 22 24 26 28
2 5 9 14 17 22 26 29
2 5 9 14 18 21 25 30
2 5 9 14 19 24 28 31
2 5 9 14 20 23 27 32
2 5 10 13 17 22 25 30
2 5 10 13 18 21 26 29
2 5 10 13 19 24 27 32
2 5 10 13 20 23 28 31
2 5 11 16 17 22 28 31
2 5 11 16 18 21 27 32
2 5 11 16 19 24 26 29
2 5 11 16 20 23 25 30
2 5 12 15 17 22 27 32
2 5 12 15 18 21 28 31
2 5 12 15 19 24 25 30
2 5 12 15 20 23 26 29
2 6 9 13 17 21 26 30
2 6 9 13 18 22 25 29
2 6 9 13 19 23 28 32
2 6 9 13 20 24 27 31
2 6 10 14 17 21 25 29
2 6 10 14 18 22 26 30
2 6 10 14 19 23 27 31
2 6 10 14 20 24 28 32
2 6 11 15 17 21 28 32
2 6 11 15 18 22 27 31
2 6 11 15 19 23 26 30
2 6 11 15 20 24 25 29
2 6 12 16 17 21 27 31
2 6 12 16 18 22 28 32
2 6 12 16 19 23 25 29
2 6 12 16 20 24 26 30
2 7 9 16 17 24 26 31
2 7 9 16 18 23 25 32
2 7 9 16 19 22 28 29
2 7 9 16 20 21 27 30
2 7 10 15 17 24 25 32
2 7 10 15 18 23 26 31
2 7 10 15 19 22 27 30
2 7 10 15 20 21 28 29
2 7 11 14 17 24 28 29
2 7 11 14 18 23 27 30
2 7 11 14 19 22 26 31
2 7 11 14 20 21 25 32
2 7 12 13 17 24 27 30
2 7 12 13 18 23 28 29
2 7 12 13 19 22 25 32
2 7 12 13 20 21 26 31
2 8 9 15 17 23 26 32
2 8 9 15 18 24 25 31
2 8 9 15 19 21 28 30
2 8 9 15 20 22 27 29
2 8 10 16 17 23 25 31
2 8 10 16 18 24 26 32
2 8 10 16 19 21 27 29
2 8 10 16 20 22 28 30
2 8 11 13 17 23 28 30
2 8 11 13 18 24 27 29
2 8 11 13 19 21 26 32
2 8 11 13 20 22 25 31
2 8 12 14 17 23 27 29
2 8 12 14 18 24 28 30
2 8 12 14 19 21 25 31
2 8 12 14 20 22 26 32
3 4 5 6 9 10 15 16
3 4 5 6 11 12 13 14
3 4 5 6 17 18 23 24
3 4 5 6 19 20 21 22
