# size 62
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
1 2 3 4 5 6 7 8 17 18 19 20 21 22 23 24
9 10 11 12 13 14 15 16 25 26 27 28 29 30 31 32
1 2 3 4 5 6 7 8 25 26 27 28 29 30 31 32
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
1 2 3 4 9 10 11 12 17 18 19 20 25 26 27 28
5 6 7 8 13 14 15 16 21 22 23 24 29 30 31 32
1 2 3 4 9 10 11 12 21 22 23 24 29 30 31 32
5 6 7 8 13 14 15 16 17 18 19 20 25 26 27 28
1 2 3 4 13 14 15 16 17 18 19 20 29 30 31 32
5 6 7 8 9 10 11 12 21 22 23 24 25 26 27 28
1 2 3 4 13 14 15 16 21 22 23 24 25 26 27 28
5 6 7 8 9 10 11 12 17 18 19 20 29 30 31 32
1 2 5 6 9 10 13 14 17 18 21 22 25 26 29 30
3 4 7 8 11 12 15 16 19 20 23 24 27 28 31 32
1 2 5 6 9 10 13 14 19 20 23 24 27 28 31 32
3 4 7 8 11 12 15 16 17 18 21 22 25 26 29 30
1 2 5 6 11 12 15 16 17 18 21 22 27 28 31 32
3 4 7 8 9 10 13 14 19 20 23 24 25 26 29 30
1 2 5 6 11 12 15 16 19 20 23 24 25 26 29 30
3 4 7 8 9 10 13 14 17 18 21 22 27 28 31 32
1 2 7 8 9 10 15 16 17 18 23 24 25 26 31 32
3 4 5 6 11 12 13 14 19 20 21 22 27 28 29 30
1 2 7 8 9 10 15 16 19 20 21 22 27 28 29 30
3 4 5 6 11 12 13 14 17 18 23 24 25 26 31 32
1 2 7 8 11 12 13 14 17 18 23 24 27 28 29 30
3 4 5 6 9 10 15 16 19 20 21 22 25 26 31 32
1 2 7 8 11 12 13 14 19 20 21 22 25 26 31 32
3 4 5 6 9 10 15 16 17 18 23 24 27 28 29 30
1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
1 3 5 7 9 11 13 15 18 20 22 24 26 28 30 32
2 4 6 8 10 12 14 16 17 19 21 23 25 27 29 31
1 3 5 7 10 12 14 16 17 19 21 23 26 28 30 32
2 4 6 8 9 11 13 15 18 20 22 24 25 27 29 31
1 3 5 7 10 12 14 16 18 20 22 24 25 27 29 31
2 4 6 8 9 11 13 15 17 19 21 23 26 28 30 32
1 3 6 8 9 11 14 16 17 19 22 24 25 27 30 32
2 4 5 7 10 12 13 15 18 20 21 23 26 28 29 31
1 3 6 8 9 11 14 16 18 20 21 23 26 28 29 31
2 4 5 7 10 12 13 15 17 19 22 24 25 27 30 32
1 3 6 8 10 12 13 15 17 19 22 24 26 28 29 31
2 4 5 7 9 11 14 16 18 20 21 23 25 27 30 32
1 3 6 8 10 12 13 15 18 20 21 23 25 27 30 32
2 4 5 7 9 11 14 16 17 19 22 24 26 28 29 31
1 4 5 8 9 12 13 16 17 20 21 24 25 28 29 32
2 3 6 7 10 11 14 15 18 19 22 23 26 27 30 31
1 4 5 8 9 12 13 16 18 19 22 23 26 27 30 31
2 3 6 7 10 11 14 15 17 20 21 24 25 28 29 32
1 4 5 8 10 11 14 15 17 20 21 24 26 27 30 31
2 3 6 7 9 12 13 16 18 19 22 23 25 28 29 32
1 4 5 8 10 11 14 15 18 19 22 23 25 28 29 32
2 3 6 7 9 12 13 16 17 20 21 24 26 27 30 31
1 4 6 7 9 12 14 15 17 20 22 23 25 28 30 31
2 3 5 8 10 11 13 16 18 19 21 24 26 27 29 32
1 4 6 7 9 12 14 15 18 19 21 24 26 27 29 32
2 3 5 8 10 11 13 16 17 20 22 23 25 28 30 31
1 4 6 7 10 11 13 16 17 20 22 23 26 27 29 32
2 3 5 8 9 12 14 15 18 19 21 24 25 28 30 31
1 4 6 7 10 11 13 16 18 19 21 24 25 28 30 31
2 3 5 8 9 12 14 15 17 20 22 23 26 27 29 32
