# size 10416
1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 16
17 18 19 20
21 22 23 24
25 26 27 28
29 30 31 32
33 34 35 36
37 38 39 40
41 42 43 44
45 46 47 48
49 50 51 52
53 54 55 56
57 58 59 60
61 62 63 64
1 2 5 6
3 4 7 8
9 10 13 14
11 12 15 16
17 18 21 22
19 20 23 24
25 26 29 30
27 28 31 32
33 34 37 38
35 36 39 40
41 42 45 46
43 44 47 48
49 50 53 54
51 52 55 56
57 58 61 62
59 60 63 64
1 2 7 8
3 4 5 6
9 10 15 16
11 12 13 14
17 18 23 24
19 20 21 22
25 26 31 32
27 28 29 30
33 34 39 40
35 36 37 38
41 42 47 48
43 44 45 46
49 50 55 56
51 52 53 54
57 58 63 64
59 60 61 62
1 2 9 10
3 4 11 12
5 6 13 14
7 8 15 16
17 18 25 26
19 20 27 28
21 22 29 30
23 24 31 32
33 34 41 42
35 36 43 44
37 38 45 46
39 40 47 48
49 50 57 58
51 52 59 60
53 54 61 62
55 56 63 64
1 2 11 12
3 4 9 10
5 6 15 16
7 8 13 14
17 18 27 28
19 20 25 26
21 22 31 32
23 24 29 30
33 34 43 44
35 36 41 42
37 38 47 48
39 40 45 46
49 50 59 60
51 52 57 58
53 54 63 64
55 56 61 62
1 2 13 14
3 4 15 16
5 6 9 10
7 8 11 12
17 18 29 30
19 20 31 32
21 22 25 26
23 24 27 28
33 34 45 46
35 36 47 48
37 38 41 42
39 40 43 44
49 50 61 62
51 52 63 64
53 54 57 58
55 56 59 60
1 2 15 16
3 4 13 14
5 6 11 12
7 8 9 10
17 18 31 32
19 20 29 30
21 22 27 28
23 24 25 26
33 34 47 48
35 36 45 46
37 38 43 44
39 40 41 42
49 50 63 64
51 52 61 62
53 54 59 60
55 56 57 58
1 2 17 18
3 4 19 20
5 6 21 22
7 8 23 24
9 10 25 26
11 12 27 28
13 14 29 30
15 16 31 32
33 34 49 50
35 36 51 52
37 38 53 54
39 40 55 56
41 42 57 58
43 44 59 60
45 46 61 62
47 48 63 64
1 2 19 20
3 4 17 18
5 6 23 24
7 8 21 22
9 10 27 28
11 12 25 26
13 14 31 32
15 16 29 30
33 34 51 52
35 36 49 50
37 38 55 56
39 40 53 54
41 42 59 60
43 44 57 58
45 46 63 64
47 48 61 62
1 2 21 22
3 4 23 24
5 6 17 18
7 8 19 20
9 10 29 30
11 12 31 32
13 14 25 26
15 16 27 28
33 34 53 54
35 36 55 56
37 38 49 50
39 40 51 52
41 42 61 62
43 44 63 64
45 46 57 58
47 48 59 60
1 2 23 24
3 4 21 22
5 6 19 20
7 8 17 18
9 10 31 32
11 12 29 30
13 14 27 28
15 16 25 26
33 34 55 56
35 36 53 54
37 38 51 52
39 40 49 50
41 42 63 64
43 44 61 62
45 46 59 60
47 48 57 58
1 2 25 26
3 4 27 28
5 6 29 30
7 8 31 32
9 10 17 18
11 12 19 20
13 14 21 22
15 16 23 24
33 34 57 58
35 36 59 60
37 38 61 62
39 40 63 64
41 42 49 50
43 44 51 52
45 46 53 54
47 48 55 56
1 2 27 28
3 4 25 26
5 6 31 32
7 8 29 30
9 10 19 20
11 12 17 18
13 14 23 24
15 16 21 22
33 34 59 60
35 36 57 58
37 38 63 64
39 40 61 62
41 42 51 52
43 44 49 50
45 46 55 56
47 48 53 54
1 2 29 30
3 4 31 32
5 6 25 26
7 8 27 28
9 10 21 22
11 12 23 24
13 14 17 18
15 16 19 20
33 34 61 62
35 36 63 64
37 38 57 58
39 40 59 60
41 42 53 54
43 44 55 56
45 46 49 50
47 48 51 52
1 2 31 32
3 4 29 30
5 6 27 28
7 8 25 26
9 10 23 24
11 12 21 22
13 14 19 20
15 16 17 18
33 34 63 64
35 36 61 62
37 38 59 60
39 40 57 58
41 42 55 56
43 44 53 54
45 46 51 52
47 48 49 50
1 2 33 34
3 4 35 36
5 6 37 38
7 8 39 40
9 10 41 42
11 12 43 44
13 14 45 46
15 16 47 48
17 18 49 50
19 20 51 52
21 22 53 54
23 24 55 56
25 26 57 58
27 28 59 60
29 30 61 62
31 32 63 64
1 2 35 36
3 4 33 34
5 6 39 40
7 8 37 38
9 10 43 44
11 12 41 42
13 14 47 48
15 16 45 46
17 18 51 52
19 20 49 50
21 22 55 56
23 24 53 54
25 26 59 60
27 28 57 58
29 30 63 64
31 32 61 62
1 2 37 38
3 4 39 40
5 6 33 34
7 8 35 36
9 10 45 46
11 12 47 48
13 14 41 42
15 16 43 44
17 18 53 54
19 20 55 56
21 22 49 50
23 24 51 52
25 26 61 62
27 28 63 64
29 30 57 58
31 32 59 60
1 2 39 40
3 4 37 38
5 6 35 36
7 8 33 34
9 10 47 48
11 12 45 46
13 14 43 44
15 16 41 42
17 18 55 56
19 20 53 54
21 22 51 52
23 24 49 50
25 26 63 64
27 28 61 62
29 30 59 60
31 32 57 58
1 2 41 42
3 4 43 44
5 6 45 46
7 8 47 48
9 10 33 34
11 12 35 36
13 14 37 38
15 16 39 40
17 18 57 58
19 20 59 60
21 22 61 62
23 24 63 64
25 26 49 50
27 28 51 52
29 30 53 54
31 32 55 56
1 2 43 44
3 4 41 42
5 6 47 48
7 8 45 46
9 10 35 36
11 12 33 34
13 14 39 40
15 16 37 38
17 18 59 60
19 20 57 58
21 22 63 64
23 24 61 62
25 26 51 52
27 28 49 50
29 30 55 56
31 32 53 54
1 2 45 46
3 4 47 48
5 6 41 42
7 8 43 44
9 10 37 38
11 12 39 40
13 14 33 34
15 16 35 36
17 18 61 62
19 20 63 64
21 22 57 58
23 24 59 60
25 26 53 54
27 28 55 56
29 30 49 50
31 32 51 52
1 2 47 48
3 4 45 46
5 6 43 44
7 8 41 42
