# size 1080
1 2 3
4 5 6
7 8 9
10 11 12
13 14 15
16 17 18
19 20 21
22 23 24
25 26 27
28 29 30
31 32 33
34 35 36
37 38 39
40 41 42
43 44 45
46 47 48
49 50 51
52 53 54
55 56 57
58 59 60
61 62 63
64 65 66
67 68 69
70 71 72
73 74 75
76 77 78
79 80 81
1 4 7
2 5 8
3 6 9
10 13 16
11 14 17
12 15 18
19 22 25
20 23 26
21 24 27
28 31 34
29 32 35
30 33 36
37 40 43
38 41 44
39 42 45
46 49 52
47 50 53
48 51 54
55 58 61
56 59 62
57 60 63
64 67 70
65 68 71
66 69 72
73 76 79
74 77 80
75 78 81
1 5 9
2 6 7
3 4 8
10 14 18
11 15 16
12 13 17
19 23 27
20 24 25
21 22 26
28 32 36
29 33 34
30 31 35
37 41 45
38 42 43
39 40 44
46 50 54
47 51 52
48 49 53
55 59 63
56 60 61
57 58 62
64 68 72
65 69 70
66 67 71
73 77 81
74 78 79
75 76 80
1 6 8
2 4 9
3 5 7
10 15 17
11 13 18
12 14 16
19 24 26
20 22 27
21 23 25
28 33 35
29 31 36
30 32 34
37 42 44
38 40 45
39 41 43
46 51 53
47 49 54
48 50 52
55 60 62
56 58 63
57 59 61
64 69 71
65 67 72
66 68 70
73 78 80
74 76 81
75 77 79
1 10 19
2 11 20
3 12 21
4 13 22
5 14 23
6 15 24
7 16 25
8 17 26
9 18 27
28 37 46
29 38 47
30 39 48
31 40 49
32 41 50
33 42 51
34 43 52
35 44 53
36 45 54
55 64 73
56 65 74
57 66 75
58 67 76
59 68 77
60 69 78
61 70 79
62 71 80
63 72 81
1 11 21
2 12 19
3 10 20
4 14 24
5 15 22
6 13 23
7 17 27
8 18 25
9 16 26
28 38 48
29 39 46
30 37 47
31 41 51
32 42 49
33 40 50
34 44 54
35 45 52
36 43 53
55 65 75
56 66 73
57 64 74
58 68 78
59 69 76
60 67 77
61 71 81
62 72 79
63 70 80
1 12 20
2 10 21
3 11 19
4 15 23
5 13 24
6 14 22
7 18 26
8 16 27
9 17 25
28 39 47
29 37 48
30 38 46
31 42 50
32 40 51
33 41 49
34 45 53
35 43 54
36 44 52
55 66 74
56 64 75
57 65 73
58 69 77
59 67 78
60 68 76
61 72 80
62 70 81
63 71 79
1 13 25
2 14 26
3 15 27
4 16 19
5 17 20
6 18 21
7 10 22
8 11 23
9 12 24
28 40 52
29 41 53
30 42 54
31 43 46
32 44 47
33 45 48
34 37 49
35 38 50
36 39 51
55 67 79
56 68 80
57 69 81
58 70 73
59 71 74
60 72 75
61 64 76
62 65 77
63 66 78
1 14 27
2 15 25
3 13 26
4 17 21
5 18 19
6 16 20
7 11 24
8 12 22
9 10 23
28 41 54
29 42 52
30 40 53
31 44 48
32 45 46
33 43 47
34 38 51
35 39 49
36 37 50
55 68 81
56 69 79
57 67 80
58 71 75
59 72 73
60 70 74
61 65 78
62 66 76
63 64 77
1 15 26
2 13 27
3 14 25
4 18 20
5 16 21
6 17 19
7 12 23
8 10 24
9 11 22
28 42 53
29 40 54
30 41 52
31 45 47
32 43 48
33 44 46
34 39 50
35 37 51
36 38 49
55 69 80
56 67 81
57 68 79
58 72 74
59 70 75
60 71 73
61 66 77
62 64 78
63 65 76
1 16 22
2 17 23
3 18 24
4 10 25
5 11 26
6 12 27
7 13 19
8 14 20
9 15 21
28 43 49
29 44 50
30 45 51
31 37 52
32 38 53
33 39 54
34 40 46
35 41 47
36 42 48
55 70 76
56 71 77
57 72 78
58 64 79
59 65 80
60 66 81
61 67 73
62 68 74
63 69 75
1 17 24
2 18 22
3 16 23
4 11 27
5 12 25
6 10 26
7 14 21
8 15 19
9 13 20
28 44 51
29 45 49
30 43 50
31 38 54
32 39 52
33 37 53
34 41 48
35 42 46
36 40 47
55 71 78
56 72 76
57 70 77
58 65 81
59 66 79
60 64 80
61 68 75
62 69 73
63 67 74
1 18 23
2 16 24
3 17 22
4 12 26
5 10 27
6 11 25
7 15 20
8 13 21
9 14 19
28 45 50
29 43 51
30 44 49
31 39 53
32 37 54
33 38 52
34 42 47
35 40 48
36 41 46
55 72 77
56 70 78
57 71 76
58 66 80
59 64 81
60 65 79
61 69 74
62 67 75
63 68 73
1 28 55
2 29 56
3 30 57
4 31 58
5 32 59
6 33 60
7 34 61
8 35 62
9 36 63
10 37 64
11 38 65
12 39 66
13 40 67
14 41 68
15 42 69
16 43 70
17 44 71
18 45 72
19 46 73
20 47 74
21 48 75
22 49 76
23 50 77
24 51 78
25 52 79
26 53 80
27 54 81
1 29 57
2 30 55
3 28 56
4 32 60
5 33 58
6 31 59
7 35 63
8 36 61
9 34 62
10 38 66
11 39 64
12 37 65
13 41 69
14 42 67
15 40 68
16 44 72
17 45 70
18 43 71
19 47 75
20 48 73
21 46 74
22 50 78
23 51 76
24 49 77
25 53 81
26 54 79
27 52 80
1 30 56
2 28 57
3 29 55
4 33 59
5 31 60
6 32 58
7 36 62
8 34 63
9 35 61
10 39 65
11 37 66
12 38 64
13 42 68
14 40 69
15 41 67
16 45 71
17 43 72
18 44 70
19 48 74
20 46 75
21 47 73
22 51 77
23 49 78
24 50 76
25 54 80
26 52 81
27 53 79
1 31 61
2 32 62
3 33 63
4 34 55
5 35 56
6 36 57
7 28 58
8 29 59
9 30 60
10 40 70
11 41 71
12 42 72
