# size 1170
1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 17 18
19 20 21 22 23 24 25 26 27
28 29 30 31 32 33 34 35 36
37 38 39 40 41 42 43 44 45
46 47 48 49 50 51 52 53 54
55 56 57 58 59 60 61 62 63
64 65 66 67 68 69 70 71 72
73 74 75 76 77 78 79 80 81
1 2 3 10 11 12 19 20 21
4 5 6 13 14 15 22 23 24
7 8 9 16 17 18 25 26 27
28 29 30 37 38 39 46 47 48
31 32 33 40 41 42 49 50 51
34 35 36 43 44 45 52 53 54
55 56 57 64 65 66 73 74 75
58 59 60 67 68 69 76 77 78
61 62 63 70 71 72 79 80 81
1 2 3 13 14 15 25 26 27
4 5 6 16 17 18 19 20 21
7 8 9 10 11 12 22 23 24
28 29 30 40 41 42 52 53 54
31 32 33 43 44 45 46 47 48
34 35 36 37 38 39 49 50 51
55 56 57 67 68 69 79 80 81
58 59 60 70 71 72 73 74 75
61 62 63 64 65 66 76 77 78
1 2 3 16 17 18 22 23 24
4 5 6 10 11 12 25 26 27
7 8 9 13 14 15 19 20 21
28 29 30 43 44 45 49 50 51
31 32 33 37 38 39 52 53 54
34 35 36 40 41 42 46 47 48
55 56 57 70 71 72 76 77 78
58 59 60 64 65 66 79 80 81
61 62 63 67 68 69 73 74 75
1 2 3 28 29 30 55 56 57
4 5 6 31 32 33 58 59 60
7 8 9 34 35 36 61 62 63
10 11 12 37 38 39 64 65 66
13 14 15 40 41 42 67 68 69
16 17 18 43 44 45 70 71 72
19 20 21 46 47 48 73 74 75
22 23 24 49 50 51 76 77 78
25 26 27 52 53 54 79 80 81
1 2 3 31 32 33 61 62 63
4 5 6 34 35 36 55 56 57
7 8 9 28 29 30 58 59 60
10 11 12 40 41 42 70 71 72
13 14 15 43 44 45 64 65 66
16 17 18 37 38 39 67 68 69
19 20 21 49 50 51 79 80 81
22 23 24 52 53 54 73 74 75
25 26 27 46 47 48 76 77 78
1 2 3 34 35 36 58 59 60
4 5 6 28 29 30 61 62 63
7 8 9 31 32 33 55 56 57
10 11 12 43 44 45 67 68 69
13 14 15 37 38 39 70 71 72
16 17 18 40 41 42 64 65 66
19 20 21 52 53 54 76 77 78
22 23 24 46 47 48 79 80 81
25 26 27 49 50 51 73 74 75
1 2 3 37 38 39 73 74 75
4 5 6 40 41 42 76 77 78
7 8 9 43 44 45 79 80 81
10 11 12 46 47 48 55 56 57
13 14 15 49 50 51 58 59 60
16 17 18 52 53 54 61 62 63
19 20 21 28 29 30 64 65 66
22 23 24 31 32 33 67 68 69
25 26 27 34 35 36 70 71 72
1 2 3 40 41 42 79 80 81
4 5 6 43 44 45 73 74 75
7 8 9 37 38 39 76 77 78
10 11 12 49 50 51 61 62 63
13 14 15 52 53 54 55 56 57
16 17 18 46 47 48 58 59 60
19 20 21 31 32 33 70 71 72
22 23 24 34 35 36 64 65 66
25 26 27 28 29 30 67 68 69
1 2 3 43 44 45 76 77 78
4 5 6 37 38 39 79 80 81
7 8 9 40 41 42 73 74 75
10 11 12 52 53 54 58 59 60
13 14 15 46 47 48 61 62 63
16 17 18 49 50 51 55 56 57
19 20 21 34 35 36 67 68 69
22 23 24 28 29 30 70 71 72
25 26 27 31 32 33 64 65 66
1 2 3 46 47 48 64 65 66
4 5 6 49 50 51 67 68 69
7 8 9 52 53 54 70 71 72
10 11 12 28 29 30 73 74 75
13 14 15 31 32 33 76 77 78
16 17 18 34 35 36 79 80 81
19 20 21 37 38 39 55 56 57
22 23 24 40 41 42 58 59 60
25 26 27 43 44 45 61 62 63
1 2 3 49 50 51 70 71 72
4 5 6 52 53 54 64 65 66
7 8 9 46 47 48 67 68 69
10 11 12 31 32 33 79 80 81
13 14 15 34 35 36 73 74 75
16 17 18 28 29 30 76 77 78
19 20 21 40 41 42 61 62 63
22 23 24 43 44 45 55 56 57
25 26 27 37 38 39 58 59 60
1 2 3 52 53 54 67 68 69
4 5 6 46 47 48 70 71 72
7 8 9 49 50 51 64 65 66
10 11 12 34 35 36 76 77 78
