W,opt_cost,opt_R,source
159,110,0.95456482340,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
160,112,0.95571443870,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
161,113,0.95803460230,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
162,115,0.95918839640,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
163,114,0.96064241580,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
164,115,0.96242186270,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
165,117,0.96371184210,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
166,116,0.96504161850,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
167,118,0.96633510930,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
168,119,0.96812510110,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
169,121,0.96929104760,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
170,120,0.97076038140,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
171,122,0.97192950160,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
172,123,0.97302662370,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
173,122,0.97382683580,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
174,123,0.97492609960,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
175,125,0.97570791650,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
176,124,0.97669049270,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
177,126,0.97759630660,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
178,125,0.97840027680,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
179,126,0.97950470320,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
180,128,0.98029019180,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
181,128,0.98102706670,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
182,130,0.98151831690,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
183,129,0.98225568740,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
184,130,0.98299403980,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
185,130,0.98350485170,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
186,129,0.98417552490,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
187,130,0.98468809620,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
188,130,0.98537823540,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
189,130,0.98592167210,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
190,130,0.98641607690,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
191,130,0.98681101780,Yeh arXiv:2204.04472 Table 6 (BRB exact; <=8 comp/subsystem)
